,centroid_x,centroid_y,centroid_z,cell_segid,cell_type,cell_subtype
1,41760,60256,1702,648518346349538237,pyramidal,pyramidal cell
2,98128,39856,218,648518346349536816,pyramidal,pyramidal cell
3,51248,50608,86,648518346349539797,pyramidal,pyramidal cell
5,115392,47136,617,648518346349536744,pyramidal,pyramidal cell
6,104928,72496,1448,648518346349536851,pyramidal,pyramidal cell
8,58128,35616,2059,648518346349522862,pyramidal,pyramidal cell
13,45856,56128,1002,648518346349529341,pyramidal,pyramidal cell
18,50128,75072,1916,648518346349530521,pyramidal,pyramidal cell
22,62128,75168,2128,648518346341382533,pyramidal,pyramidal cell
28,72944,35952,2038,648518346349492130,pyramidal,pyramidal cell
29,73744,68480,1228,648518346349531834,pyramidal,pyramidal cell
30,47648,50768,1370,648518346349537400,pyramidal,pyramidal cell
32,41840,66928,111,648518346349528749,pyramidal,pyramidal cell
35,118240,64352,2044,648518346349532050,pyramidal,pyramidal cell
38,55184,68480,664,648518346349538475,pyramidal,pyramidal cell
39,48864,66896,2058,648518346349538733,pyramidal,pyramidal cell
40,47248,72016,820,648518346349530766,pyramidal,pyramidal cell
45,47840,46080,1999,648518346349537071,pyramidal,pyramidal cell
47,46096,64320,500,648518346349528913,pyramidal,pyramidal cell
48,48048,74192,1520,648518346349535286,pyramidal,pyramidal cell
51,110640,78688,1695,648518346349523129,pyramidal,pyramidal cell
59,43968,72624,1439,648518346349533252,pyramidal,pyramidal cell
60,50128,64192,1379,648518346349524933,pyramidal,pyramidal cell
75,111520,51344,946,648518346349539891,pyramidal,pyramidal cell
82,72752,75248,738,648518346349538001,pyramidal,pyramidal cell
93,103552,58464,1209,648518346349539414,pyramidal,pyramidal cell
95,102256,37648,1981,648518346349525861,pyramidal,pyramidal cell
103,67920,39584,2148,648518346349492197,pyramidal,pyramidal cell
110,46672,66368,346,648518346349536478,pyramidal,pyramidal cell
116,112112,67040,2170,648518346349511899,pyramidal,pyramidal cell
148,77456,49968,1443,648518346349539895,pyramidal,pyramidal cell
167,60496,47376,949,648518346349539462,pyramidal,pyramidal cell
202,78848,71728,7,648518346349537916,pyramidal,pyramidal cell
236,58944,65504,2,648518346349528248,pyramidal,pyramidal cell
245,83552,72496,1215,648518346349538251,pyramidal,pyramidal cell
254,65456,51136,967,648518346349539068,pyramidal,pyramidal cell
268,79536,58176,857,648518346349539593,pyramidal,pyramidal cell
269,71600,48640,1236,648518346349537913,pyramidal,pyramidal cell
271,115024,72448,974,648518346349538254,pyramidal,pyramidal cell
273,70608,51760,23,648518346349537827,pyramidal,pyramidal cell
281,76832,47904,311,648518346349539437,pyramidal,pyramidal cell
283,76080,45936,2134,648518346349538312,pyramidal,pyramidal cell
287,75136,45888,105,648518346349539890,pyramidal,pyramidal cell
289,97456,60176,1014,648518346349539819,pyramidal,pyramidal cell
315,74688,72496,458,648518346349535007,pyramidal,pyramidal cell
333,116800,45920,791,648518346349526227,pyramidal,pyramidal cell
335,91344,66304,1223,648518346349539093,pyramidal,pyramidal cell
344,89888,41760,1979,648518346349531327,pyramidal,pyramidal cell
350,100688,70432,289,648518346349538391,pyramidal,pyramidal cell
355,89696,67552,966,648518346349539863,pyramidal,pyramidal cell
359,107968,60336,96,648518346349539844,pyramidal,pyramidal cell
360,108560,72496,1285,648518346349539471,pyramidal,pyramidal cell
361,81344,50240,2154,648518346349538414,pyramidal,pyramidal cell
362,89520,48128,1306,648518346349539864,pyramidal,pyramidal cell
364,43408,58304,2143,648518346349530177,pyramidal,pyramidal cell
368,52096,55232,1204,648518346349522230,pyramidal,pyramidal cell
373,109520,54048,482,648518346349534072,pyramidal,pyramidal cell
378,93344,59840,2157,648518346349539506,pyramidal,pyramidal cell
379,51232,47056,977,648518346349537981,pyramidal,pyramidal cell
386,92896,68368,408,648518346349539334,pyramidal,pyramidal cell
391,62080,43840,226,648518346349539594,pyramidal,pyramidal cell
392,114432,68400,2031,648518346349532067,pyramidal,pyramidal cell
396,89392,62304,1418,648518346349539856,pyramidal,pyramidal cell
397,99008,76512,1019,648518346349525821,pyramidal,pyramidal cell
398,46912,67040,2164,648518346349529960,pyramidal,pyramidal cell
400,58992,64336,908,648518346349536205,pyramidal,pyramidal cell
401,48992,62352,472,648518346349535264,pyramidal,pyramidal cell
405,118368,54080,1974,648518346349535102,pyramidal,pyramidal cell
406,111280,70704,1056,648518346349523266,pyramidal,pyramidal cell
408,92352,46992,2168,648518346349517132,pyramidal,pyramidal cell
420,39840,63872,1913,648518346349529778,pyramidal,pyramidal cell
421,77440,43776,265,648518346349538056,pyramidal,pyramidal cell
425,104960,66544,631,648518346349539851,pyramidal,pyramidal cell
430,80000,42304,24,648518346349494004,pyramidal,pyramidal cell
431,60672,45936,1607,648518346349538387,pyramidal,pyramidal cell
433,94064,64048,52,648518346349539862,pyramidal,pyramidal cell
434,85536,68208,53,648518346349539347,pyramidal,pyramidal cell
435,97760,76592,2044,648518346349505739,pyramidal,pyramidal cell
441,50736,51312,956,648518346349535363,pyramidal,pyramidal cell
443,63120,58432,1134,648518346349538365,pyramidal,pyramidal cell
445,95792,72336,1710,648518346349538416,pyramidal,pyramidal cell
446,99408,51936,2010,648518346349537897,pyramidal,pyramidal cell
448,55024,62448,1215,648518346349539836,pyramidal,pyramidal cell
449,50736,57104,971,648518346349539834,pyramidal,pyramidal cell
451,100336,64256,1227,648518346349539359,pyramidal,pyramidal cell
452,87936,72352,2101,648518346349539569,pyramidal,pyramidal cell
454,75360,75040,2142,648518346349525406,pyramidal,pyramidal cell
455,56800,45680,957,648518346349537835,pyramidal,pyramidal cell
457,80720,59872,2141,648518346349538270,pyramidal,pyramidal cell
461,61760,72384,1867,648518346349523306,pyramidal,pyramidal cell
464,82688,70656,1480,648518346349539785,pyramidal,pyramidal cell
465,99168,71056,2150,648518346349537492,pyramidal,pyramidal cell
467,45168,62416,1388,648518346349537946,pyramidal,pyramidal cell
470,68800,76176,1213,648518346349526534,pyramidal,pyramidal cell
472,55200,51968,11,648518346349528587,pyramidal,pyramidal cell
474,112304,45904,646,648518346349534794,pyramidal,pyramidal cell
475,52144,67632,1173,648518346349537996,pyramidal,pyramidal cell
479,70864,42368,24,648518346349523993,pyramidal,pyramidal cell
481,103776,47792,1558,648518346349539845,pyramidal,pyramidal cell
485,73280,42096,1083,648518346349535192,pyramidal,pyramidal cell
486,41680,70784,2134,648518346349529905,pyramidal,pyramidal cell
488,78976,39392,2145,648518346349537828,pyramidal,pyramidal cell
491,117088,40528,998,648518346349537844,pyramidal,pyramidal cell
492,103696,54208,228,648518346349538711,pyramidal,pyramidal cell
500,49536,62672,39,648518346349537472,pyramidal,pyramidal cell
501,84512,66576,1441,648518346349538395,pyramidal,pyramidal cell
502,55488,56016,1519,648518346349538098,pyramidal,pyramidal cell
504,66480,50336,208,648518346349533267,pyramidal,pyramidal cell
507,80912,46112,2021,648518346349539781,pyramidal,pyramidal cell
508,73088,60336,2161,648518346349525972,pyramidal,pyramidal cell
510,115520,52848,1194,648518346349539885,pyramidal,pyramidal cell
511,62800,70672,523,648518346349537851,pyramidal,pyramidal cell
512,48992,51184,289,648518346349528588,pyramidal,pyramidal cell
513,64320,74736,686,648518346349536811,pyramidal,pyramidal cell
518,77376,55856,167,648518346349537641,pyramidal,pyramidal cell
519,68512,66528,1503,648518346349537989,pyramidal,pyramidal cell
529,49056,55936,1976,648518346349539433,pyramidal,pyramidal cell
530,100992,47328,1125,648518346349540017,pyramidal,pyramidal cell
532,81552,52528,1202,648518346349538440,pyramidal,pyramidal cell
533,71776,54752,1155,648518346349538527,pyramidal,pyramidal cell
534,107888,38544,2147,648518346349493472,pyramidal,pyramidal cell
535,108608,54368,1575,648518346349539804,pyramidal,pyramidal cell
537,72720,46192,1937,648518346349534292,pyramidal,pyramidal cell
538,44144,59440,1005,648518346349529376,pyramidal,pyramidal cell
540,72688,41568,2162,648518346349537425,pyramidal,pyramidal cell
541,87296,46304,2098,648518346349531774,pyramidal,pyramidal cell
542,97536,63936,2114,648518346349536924,pyramidal,pyramidal cell
544,103584,50192,272,648518346349539809,pyramidal,pyramidal cell
546,110512,58720,46,648518346349536391,pyramidal,pyramidal cell
547,75184,50272,93,648518346349539803,pyramidal,pyramidal cell
549,68208,51904,626,648518346349538378,pyramidal,pyramidal cell
550,69968,38016,1515,648518346349537486,pyramidal,pyramidal cell
551,108208,76416,779,648518346349536997,pyramidal,pyramidal cell
555,100960,43632,898,648518346349536988,pyramidal,pyramidal cell
556,77760,74848,830,648518346349539586,pyramidal,pyramidal cell
557,62496,63008,2143,648518346349539390,pyramidal,pyramidal cell
558,67056,57504,2161,648518346349537244,pyramidal,pyramidal cell
563,111376,61984,1179,648518346349540051,pyramidal,pyramidal cell
564,71328,58560,671,648518346349537657,pyramidal,pyramidal cell
565,67856,43616,469,648518346349534289,pyramidal,pyramidal cell
566,65952,64336,2159,648518346349526132,pyramidal,pyramidal cell
567,70880,43616,646,648518346349538157,pyramidal,pyramidal cell
568,84608,46304,289,648518346349539097,pyramidal,pyramidal cell
570,93024,37920,1926,648518346349531362,pyramidal,pyramidal cell
572,87552,58480,1418,648518346349539887,pyramidal,pyramidal cell
573,91648,70224,2159,648518346349477155,pyramidal,pyramidal cell
575,87728,46192,1372,648518346349539825,pyramidal,pyramidal cell
581,92960,56832,1178,648518346349539896,pyramidal,pyramidal cell
589,38448,71088,1169,648518346349529438,pyramidal,pyramidal cell
594,99600,46176,1777,648518346349539768,pyramidal,pyramidal cell
597,97424,59904,256,648518346349539070,pyramidal,pyramidal cell
600,70272,54384,1757,648518346349538336,pyramidal,pyramidal cell
602,59232,51072,1030,648518346349537860,pyramidal,pyramidal cell
604,52512,46192,735,648518346349531230,pyramidal,pyramidal cell
605,95296,58544,617,648518346349539892,pyramidal,pyramidal cell
609,55920,44192,20,648518346349523981,pyramidal,pyramidal cell
610,93776,76176,904,648518346349525753,pyramidal,pyramidal cell
612,117632,50576,928,648518346349520120,pyramidal,pyramidal cell
617,82288,70912,2098,648518346349538259,pyramidal,pyramidal cell
618,109568,43056,45,648518346349538782,pyramidal,pyramidal cell
621,91792,58560,286,648518346349539961,pyramidal,pyramidal cell
622,77488,66176,1178,648518346349538332,pyramidal,pyramidal cell
629,82432,55696,153,648518346349533811,pyramidal,pyramidal cell
636,69680,67968,373,648518346349536788,pyramidal,pyramidal cell
638,107488,63920,1419,648518346349535847,pyramidal,pyramidal cell
642,100528,67952,1624,648518346349538193,pyramidal,pyramidal cell
649,92432,70960,1985,648518346349539376,pyramidal,pyramidal cell
650,111488,72000,219,648518346349527116,pyramidal,pyramidal cell
658,89264,50624,70,648518346349538188,pyramidal,pyramidal cell
661,80720,70960,188,648518346349539795,pyramidal,pyramidal cell
664,88816,46624,58,648518346349538421,pyramidal,pyramidal cell
665,68992,47472,1542,648518346349537717,pyramidal,pyramidal cell
666,95104,75744,49,648518346349525720,pyramidal,pyramidal cell
669,118416,46336,1663,648518346349534614,pyramidal,pyramidal cell
670,50912,44224,1062,648518346349523667,pyramidal,pyramidal cell
673,58032,62816,161,648518346349536366,pyramidal,pyramidal cell
674,59344,62672,1420,648518346349539755,pyramidal,pyramidal cell
676,100144,41104,2151,648518346349493487,pyramidal,pyramidal cell
678,74304,67920,2025,648518346349537853,pyramidal,pyramidal cell
679,41424,61424,2154,648518346349530300,pyramidal,pyramidal cell
681,53472,54544,1932,648518346349532086,pyramidal,pyramidal cell
682,52608,46352,1465,648518346349539110,pyramidal,pyramidal cell
683,82000,55568,545,648518346349538053,pyramidal,pyramidal cell
684,63488,68016,230,648518346349539554,pyramidal,pyramidal cell
685,79680,71984,538,648518346349539821,pyramidal,pyramidal cell
686,107184,72688,30,648518346349526971,pyramidal,pyramidal cell
688,82912,42288,2050,648518346349534360,pyramidal,pyramidal cell
689,46384,70352,1056,648518346349538451,pyramidal,pyramidal cell
691,52560,61600,31,648518346349528050,pyramidal,pyramidal cell
692,63136,51552,296,648518346349536312,pyramidal,pyramidal cell
694,89552,75632,1075,648518346349536992,pyramidal,pyramidal cell
699,73920,58736,1466,648518346349539572,pyramidal,pyramidal cell
700,54704,67920,1308,648518346349535435,pyramidal,pyramidal cell
701,85936,50544,397,648518346349539575,pyramidal,pyramidal cell
705,62800,38848,2119,648518346349538317,pyramidal,pyramidal cell
706,59968,51584,477,648518346349533482,pyramidal,pyramidal cell
707,115136,77440,44,648518346349530359,pyramidal,pyramidal cell
708,81584,56512,1150,648518346349538278,pyramidal,pyramidal cell
709,59744,50944,2125,648518346349539901,pyramidal,pyramidal cell
711,54272,71008,314,648518346349536534,pyramidal,pyramidal cell
712,55152,50448,404,648518346349539806,pyramidal,pyramidal cell
713,104912,45328,38,648518346349537145,pyramidal,pyramidal cell
714,43376,66912,1947,648518346349538721,pyramidal,pyramidal cell
715,67728,43232,1997,648518346349538100,pyramidal,pyramidal cell
717,48960,53216,1038,648518346349538462,pyramidal,pyramidal cell
719,104320,46432,596,648518346349533350,pyramidal,pyramidal cell
720,70704,43152,1683,648518346349538291,pyramidal,pyramidal cell
721,40240,67072,1510,648518346349529575,pyramidal,pyramidal cell
722,88704,54768,1372,648518346349538478,pyramidal,pyramidal cell
724,108512,45328,1138,648518346349539071,pyramidal,pyramidal cell
725,96176,50064,40,648518346349523975,pyramidal,pyramidal cell
727,90832,43184,580,648518346349538787,pyramidal,pyramidal cell
729,103968,50656,870,648518346349538410,pyramidal,pyramidal cell
730,118416,79440,2001,648518346349527610,pyramidal,pyramidal cell
732,68944,45472,2141,648518346349538133,pyramidal,pyramidal cell
733,83920,50688,1441,648518346349538466,pyramidal,pyramidal cell
735,105824,51248,1223,648518346349539423,pyramidal,pyramidal cell
736,113152,62976,1638,648518346349531530,pyramidal,pyramidal cell
737,119648,78384,1558,648518346349537446,pyramidal,pyramidal cell
738,85472,51376,1663,648518346349537993,pyramidal,pyramidal cell
739,87712,71792,406,648518346349539865,pyramidal,pyramidal cell
740,88656,46624,493,648518346349537514,pyramidal,pyramidal cell
741,73152,46528,546,648518346349539560,pyramidal,pyramidal cell
742,56848,42416,1279,648518346349537385,pyramidal,pyramidal cell
743,86160,62928,254,648518346349538426,pyramidal,pyramidal cell
744,80896,76864,1480,648518346349538190,pyramidal,pyramidal cell
745,59680,57216,1041,648518346349539906,pyramidal,pyramidal cell
747,117712,51392,1774,648518346349537482,pyramidal,pyramidal cell
748,54656,46576,1245,648518346349539727,pyramidal,pyramidal cell
749,81312,63584,201,648518346349539368,pyramidal,pyramidal cell
750,91936,63008,524,648518346349536966,pyramidal,pyramidal cell
751,100432,37344,2118,648518346349493874,pyramidal,pyramidal cell
752,63552,55440,2038,648518346349538239,pyramidal,pyramidal cell
753,106256,39024,1991,648518346349494577,pyramidal,pyramidal cell
754,86720,63616,1960,648518346349539096,pyramidal,pyramidal cell
755,77504,62992,1685,648518346349539095,pyramidal,pyramidal cell
757,96864,51376,820,648518346349539853,pyramidal,pyramidal cell
758,116816,47296,1264,648518346349539832,pyramidal,pyramidal cell
760,98752,42576,1540,648518346349537687,pyramidal,pyramidal cell
762,111440,63536,445,648518346349540053,pyramidal,pyramidal cell
764,55824,59200,874,648518346349531526,pyramidal,pyramidal cell
767,55232,40624,1127,648518346349538015,pyramidal,pyramidal cell
768,106144,71360,666,648518346349523030,pyramidal,pyramidal cell
769,98608,54976,900,648518346349539599,pyramidal,pyramidal cell
770,58112,67600,381,648518346349523254,pyramidal,pyramidal cell
771,110240,75424,1913,648518346349537609,pyramidal,pyramidal cell
772,68784,50880,1413,648518346349539517,pyramidal,pyramidal cell
775,83808,59376,1702,648518346349537814,pyramidal,pyramidal cell
776,97344,47200,734,648518346349539653,pyramidal,pyramidal cell
778,57952,46672,1541,648518346349537883,pyramidal,pyramidal cell
779,91312,47136,1793,648518346349539828,pyramidal,pyramidal cell
780,67504,56400,1061,648518346349537516,pyramidal,pyramidal cell
781,107680,50768,1905,648518346349537331,pyramidal,pyramidal cell
782,65024,46672,547,648518346349537160,pyramidal,pyramidal cell
783,86560,45440,1067,648518346349537716,pyramidal,pyramidal cell
784,106736,57792,1106,648518346349536680,pyramidal,pyramidal cell
785,64592,63152,1249,648518346349537242,pyramidal,pyramidal cell
786,67856,42912,190,648518346349537167,pyramidal,pyramidal cell
790,115872,63408,181,648518346349534057,pyramidal,pyramidal cell
791,51152,42784,1860,648518346349536748,pyramidal,pyramidal cell
796,52288,53104,50,648518346349528559,pyramidal,pyramidal cell
798,71184,75696,1315,648518346349527315,pyramidal,pyramidal cell
799,111888,71600,481,648518346349537515,pyramidal,pyramidal cell
800,96064,46960,261,648518346349532739,pyramidal,pyramidal cell
803,115376,71376,1380,648518346349532180,pyramidal,pyramidal cell
807,88288,50928,754,648518346349539789,pyramidal,pyramidal cell
808,73408,76560,1561,648518346349537611,pyramidal,pyramidal cell
809,91040,63408,1729,648518346349537718,pyramidal,pyramidal cell
810,101440,55024,1413,648518346349539464,pyramidal,pyramidal cell
811,54448,63312,2072,648518346349539336,pyramidal,pyramidal cell
813,50592,69744,54,648518346349527390,pyramidal,pyramidal cell
817,82816,75536,489,648518346349539513,pyramidal,pyramidal cell
819,67552,46832,155,648518346349536679,pyramidal,pyramidal cell
823,53584,51056,1670,648518346349524141,pyramidal,pyramidal cell
826,110672,48448,63,648518346349537271,pyramidal,pyramidal cell
827,104592,68880,58,648518346349535300,pyramidal,pyramidal cell
828,73280,67424,1584,648518346349537513,pyramidal,pyramidal cell
829,91440,72736,1089,648518346349539590,pyramidal,pyramidal cell
830,111968,44512,2107,648518346349531263,pyramidal,pyramidal cell
833,76800,41072,63,648518346349537798,pyramidal,pyramidal cell
835,72384,48224,76,648518346349536809,pyramidal,pyramidal cell
836,53312,53872,2116,648518346349528349,pyramidal,pyramidal cell
837,110176,60624,2112,648518346349538296,pyramidal,pyramidal cell
838,117392,74544,335,648518346349537275,pyramidal,pyramidal cell
839,76608,49440,2113,648518346349539780,pyramidal,pyramidal cell
842,110672,56240,77,648518346349532006,pyramidal,pyramidal cell
843,118528,68912,1374,648518346349535473,pyramidal,pyramidal cell
844,114928,57984,2111,648518346349539430,pyramidal,pyramidal cell
846,105072,64592,2106,648518346349537808,pyramidal,pyramidal cell
847,67136,73280,2105,648518346349537075,pyramidal,pyramidal cell
848,71520,45600,72,648518346349538298,pyramidal,pyramidal cell
849,86352,76672,1305,648518346349525571,pyramidal,pyramidal cell
850,100752,49456,2099,648518346349537255,pyramidal,pyramidal cell
851,68272,53216,2098,648518346349537434,pyramidal,pyramidal cell
852,85808,73568,2086,648518346349537741,pyramidal,pyramidal cell
853,93648,45536,2065,648518346349539080,pyramidal,pyramidal cell
855,90304,53552,101,648518346349537153,pyramidal,pyramidal cell
857,69200,64624,626,648518346349534079,pyramidal,pyramidal cell
858,77536,72736,211,648518346349538431,pyramidal,pyramidal cell
