,centroid_x,centroid_y,centroid_z,cell_segid,cell_type,cell_subtype
859,112016,58128,1511,648518346349537297,pyramidal,pyramidal cell
860,113024,74240,1442,648518346349537243,pyramidal,pyramidal cell
862,66880,56704,112,648518346349537487,pyramidal,pyramidal cell
863,82944,60768,178,648518346349531851,pyramidal,pyramidal cell
864,78512,39920,1973,648518346349491311,pyramidal,pyramidal cell
865,65136,41120,2077,648518346349537984,pyramidal,pyramidal cell
867,68800,74000,287,648518346349523868,pyramidal,pyramidal cell
868,85376,65392,1861,648518346349531414,pyramidal,pyramidal cell
869,79360,49648,822,648518346349538235,pyramidal,pyramidal cell
870,113552,45312,1707,648518346349538070,pyramidal,pyramidal cell
871,86496,74256,726,648518346349536354,pyramidal,pyramidal cell
872,80288,66240,714,648518346349535074,pyramidal,pyramidal cell
873,108272,73600,2023,648518346349507351,pyramidal,pyramidal cell
874,116192,58112,923,648518346349537961,pyramidal,pyramidal cell
875,88112,68640,2015,648518346349537790,pyramidal,pyramidal cell
876,63248,44400,2066,648518346349538286,pyramidal,pyramidal cell
877,111312,60480,679,648518346349532796,pyramidal,pyramidal cell
878,108656,69488,214,648518346349537649,pyramidal,pyramidal cell
879,71072,48928,860,648518346349533058,pyramidal,pyramidal cell
880,62288,36368,2031,648518346349531192,pyramidal,pyramidal cell
881,89552,44496,1900,648518346349536921,pyramidal,pyramidal cell
882,78576,44400,594,648518346349539886,pyramidal,pyramidal cell
883,115504,53152,712,648518346349492682,pyramidal,pyramidal cell
884,70176,49072,2010,648518346349538102,pyramidal,pyramidal cell
885,58992,52704,1977,648518346349539794,pyramidal,pyramidal cell
886,110192,73200,617,648518346349537583,pyramidal,pyramidal cell
887,62064,61520,145,648518346349539435,pyramidal,pyramidal cell
888,82768,72912,915,648518346349538746,pyramidal,pyramidal cell
889,113600,48528,1492,648518346349524063,pyramidal,pyramidal cell
891,115744,44960,1231,648518346349537007,pyramidal,pyramidal cell
892,96544,76880,1587,648518346349537901,pyramidal,pyramidal cell
893,103712,44304,874,648518346349540057,pyramidal,pyramidal cell
894,101440,65360,672,648518346349539601,pyramidal,pyramidal cell
895,58448,53008,1621,648518346349538368,pyramidal,pyramidal cell
896,95872,65136,1787,648518346349531729,pyramidal,pyramidal cell
897,61616,54016,385,648518346349539401,pyramidal,pyramidal cell
898,84480,61632,1271,648518346349539366,pyramidal,pyramidal cell
899,48784,72848,532,648518346349530465,pyramidal,pyramidal cell
900,92320,45744,110,648518346349537840,pyramidal,pyramidal cell
901,101888,52960,708,648518346349539539,pyramidal,pyramidal cell
902,112720,56528,1765,648518346349538005,pyramidal,pyramidal cell
903,102144,69712,1874,648518346349538231,pyramidal,pyramidal cell
904,96848,65264,674,648518346349539852,pyramidal,pyramidal cell
905,77232,44160,1226,648518346349531254,pyramidal,pyramidal cell
906,112464,78160,1291,648518346349527158,pyramidal,pyramidal cell
907,75536,56512,546,648518346349537509,pyramidal,pyramidal cell
908,95696,44208,891,648518346349534855,pyramidal,pyramidal cell
909,61856,69104,1744,648518346349536929,pyramidal,pyramidal cell
910,58384,73344,363,648518346349536753,pyramidal,pyramidal cell
911,84128,48560,119,648518346349533227,pyramidal,pyramidal cell
912,62656,57872,141,648518346349534580,pyramidal,pyramidal cell
913,96544,69952,171,648518346349537047,pyramidal,pyramidal cell
914,109152,41248,1490,648518346349533719,pyramidal,pyramidal cell
915,77280,61904,417,648518346349537038,pyramidal,pyramidal cell
916,103952,73872,1654,648518346349537003,pyramidal,pyramidal cell
917,98528,61456,478,648518346349537042,pyramidal,pyramidal cell
918,62976,64592,502,648518346349539067,pyramidal,pyramidal cell
919,113936,65696,771,648518346349496405,pyramidal,pyramidal cell
920,88672,74336,269,648518346349521083,pyramidal,pyramidal cell
921,81296,53648,1668,648518346349538112,pyramidal,pyramidal cell
922,75568,52336,1387,648518346349538209,pyramidal,pyramidal cell
923,108240,44848,281,648518346349539079,pyramidal,pyramidal cell
924,71808,66240,1310,648518346349539591,pyramidal,pyramidal cell
925,109552,53712,117,648518346349537848,pyramidal,pyramidal cell
926,107040,61104,1577,648518346349537270,pyramidal,pyramidal cell
927,76528,52176,796,648518346349537391,pyramidal,pyramidal cell
928,83936,39936,1563,648518346349539333,pyramidal,pyramidal cell
930,116144,61696,1971,648518346349532066,pyramidal,pyramidal cell
931,101168,56688,696,648518346349537818,pyramidal,pyramidal cell
932,87264,40816,290,648518346349540048,pyramidal,pyramidal cell
933,67584,69712,1874,648518346349536159,pyramidal,pyramidal cell
934,70096,73120,774,648518346349537102,pyramidal,pyramidal cell
935,73776,64560,367,648518346349538730,pyramidal,pyramidal cell
936,65952,64912,852,648518346349539820,pyramidal,pyramidal cell
937,65168,49856,1451,648518346349539840,pyramidal,pyramidal cell
938,85184,61920,589,648518346349540055,pyramidal,pyramidal cell
939,92816,40960,2014,648518346349539103,pyramidal,pyramidal cell
940,94480,52592,2045,648518346349537991,pyramidal,pyramidal cell
941,94512,48320,1257,648518346349519354,pyramidal,pyramidal cell
942,59808,61616,776,648518346349539598,pyramidal,pyramidal cell
943,109424,49168,393,648518346349532791,pyramidal,pyramidal cell
944,73536,64832,691,648518346349538033,pyramidal,pyramidal cell
945,87216,41104,1500,648518346349532295,pyramidal,pyramidal cell
946,95776,52992,1779,648518346349539579,pyramidal,pyramidal cell
947,51488,57648,149,648518346349538715,pyramidal,pyramidal cell
948,103824,52864,1731,648518346349534048,pyramidal,pyramidal cell
949,75104,52368,1809,648518346349537300,pyramidal,pyramidal cell
950,51264,70320,672,648518346349536769,pyramidal,pyramidal cell
951,56848,74240,1744,648518346349533867,pyramidal,pyramidal cell
952,71088,40112,1459,648518346349537081,pyramidal,pyramidal cell
953,65136,53728,1859,648518346349539524,pyramidal,pyramidal cell
954,116304,60800,1485,648518346349503588,pyramidal,pyramidal cell
955,59648,61136,1816,648518346349539076,pyramidal,pyramidal cell
956,50096,65824,1735,648518346349537489,pyramidal,pyramidal cell
957,96096,57856,1764,648518346349535823,pyramidal,pyramidal cell
958,102112,73808,905,648518346349537615,pyramidal,pyramidal cell
959,115552,69552,335,648518346349537564,pyramidal,pyramidal cell
960,67008,60768,1439,648518346349539448,pyramidal,pyramidal cell
961,71232,65232,1852,648518346349537692,pyramidal,pyramidal cell
962,97040,72896,1327,648518346349537380,pyramidal,pyramidal cell
963,60816,65120,1513,648518346349531668,pyramidal,pyramidal cell
964,102224,61600,1557,648518346349539100,pyramidal,pyramidal cell
965,115488,70032,1843,648518346349539510,pyramidal,pyramidal cell
966,94912,66224,1336,648518346349539934,pyramidal,pyramidal cell
967,62480,41056,1763,648518346349537426,pyramidal,pyramidal cell
968,79168,40944,1717,648518346349538718,pyramidal,pyramidal cell
969,82512,44304,1701,648518346349524971,pyramidal,pyramidal cell
970,89600,40496,1577,648518346349538250,pyramidal,pyramidal cell
971,102560,77648,1868,648518346349525852,pyramidal,pyramidal cell
972,81920,49344,310,648518346349539884,pyramidal,pyramidal cell
973,97488,44752,464,648518346349537978,pyramidal,pyramidal cell
974,66160,57680,539,648518346349537547,pyramidal,pyramidal cell
975,105696,48992,1278,648518346349539486,pyramidal,pyramidal cell
976,50816,49728,2006,648518346349534945,pyramidal,pyramidal cell
977,45728,53488,1644,648518346349530883,pyramidal,pyramidal cell
978,68592,66080,800,648518346349539900,pyramidal,pyramidal cell
979,101264,48560,493,648518346349538192,pyramidal,pyramidal cell
37,66720,75200,837,648518346349526691,inhibitory,unknown_type
107,86768,55856,1230,648518346349528994,inhibitory,basket
280,104432,58272,821,648518346349489861,inhibitory,bipolar
301,99984,54144,2124,648518346349522740,inhibitory,unknown_type
382,72384,51808,889,648518346349538285,inhibitory,bipolar
393,73584,60096,990,648518346349487752,inhibitory,bipolar
528,79008,47600,63,648518346349493894,inhibitory,unknown_type
553,60976,66672,1941,648518346349538179,inhibitory,martinotti
560,70320,51456,1958,648518346349522735,inhibitory,bipolar
574,104752,74976,238,648518346349489985,inhibitory,unknown_type
606,57680,38672,2131,648518346349531994,inhibitory,unknown_type
616,85920,70832,683,648518346349517783,inhibitory,unknown_type
624,98336,73312,1047,648518346349487432,inhibitory,bipolar
662,91296,71168,1755,648518346349477331,inhibitory,bipolar
668,60080,58736,1296,648518346349539846,inhibitory,basket
672,105440,63712,635,648518346349488919,inhibitory,unknown_type
675,108288,67648,681,648518346349537389,inhibitory,bipolar
687,81104,46752,696,648518346349515986,inhibitory,bipolar
696,106144,58976,529,648518346349522749,inhibitory,bipolar
703,115536,42992,1870,648518346349538370,inhibitory,unknown_type
731,113296,51456,1917,648518346349525188,inhibitory,unknown_type
805,59056,44256,1935,648518346349491816,inhibitory,bipolar
812,96000,70224,1993,648518346349537404,inhibitory,bipolar
816,115232,48400,1839,648518346349525190,inhibitory,bipolar
834,62032,41200,2015,648518346349516051,inhibitory,chandelier
840,104320,45056,1863,648518346349522750,inhibitory,unknown_type
841,67376,48512,431,648518346349538638,inhibitory,chandelier
845,70096,48288,307,648518346349515985,inhibitory,unknown_type
854,113104,61728,2050,648518346349518096,inhibitory,unknown_type
856,64784,40784,183,648518346349516055,inhibitory,unknown_type
861,90896,60784,206,648518346349536849,inhibitory,unknown_type
866,93600,66000,530,648518346349538789,inhibitory,neurogliaform
890,97248,56576,283,648518346349539215,inhibitory,basket
929,55984,69200,2066,648518346349538791,inhibitory,basket
0,88240,60656,256,648518346349517321,glia,astrocyte
1,72368,56912,590,648518346341392909,glia,astrocyte
2,74112,57520,458,648518346349508122,glia,OPC
3,49168,72688,1476,648518346349530654,glia,microglia
4,72704,54688,506,648518346349536799,glia,astrocyte
5,74576,75520,1163,648518346349525537,glia,astrocyte
6,79328,67360,445,648518346349525544,glia,astrocyte
7,81392,72608,235,648518346349525545,glia,OPC
8,98672,62768,2123,648518346341355049,glia,microglia
9,52896,47856,785,648518346349528624,glia,microglia
10,95184,37376,1808,648518346349526583,glia,astrocyte
11,93872,58752,1014,648518346349514298,glia,OPC
12,83952,46640,1633,648518346349490239,glia,astrocyte
13,71408,57232,162,648518346349510740,glia,microglia
14,19533824,15112960,2033,648518346349526102,glia,OPC (pericyte type)
15,85152,70608,1607,648518346349530199,glia,microglia
16,85488,47632,220,648518346349531742,glia,microglia
17,61104,39920,873,648518346349530724,glia,microglia
18,80272,56768,2068,648518346349524070,glia,astrocyte
19,76592,41168,1646,648518346342801515,glia,microglia
20,101120,49760,60,648518346349386860,glia,astrocyte
21,105696,50592,410,648518346349510254,glia,microglia
22,113008,46032,150,648518346349375599,glia,microglia
23,73712,73056,1123,648518346349508722,glia,astrocyte
24,104368,69440,1053,648518346349536888,glia,astrocyte
25,103664,59792,830,648518346342800512,glia,OPC
26,92688,47248,62,648518346342797442,glia,microglia
28,57760,48816,26,648518346349530761,glia,OPC
29,59712,53808,1513,648518346349524109,glia,OPC
30,67600,68272,477,648518346349530765,glia,OPC
32,97664,61888,267,648518346341391505,glia,microglia
33,52672,65728,967,648518346341351575,glia,microglia
34,95568,48528,349,648518346349516953,glia,astrocyte
35,114608,49712,2051,648518346349521062,glia,astrocyte
36,108064,77216,565,648518346342468778,glia,astrocyte
37,110816,60768,234,648518346342795947,glia,astrocyte
38,78880,42160,1507,648518346349524140,glia,OPC
39,82192,40208,138,648518346349524139,glia,astrocyte
40,60496,62848,1837,648518346349539502,glia,microglia
41,83120,39856,1978,648518346342917290,glia,astrocyte
42,96816,75760,91,648518346349525684,glia,OPC
43,77920,61024,2094,648518346349508279,glia,oligodendrocyte
44,51200,62384,363,648518346349528249,glia,astrocyte
45,56976,56032,785,648518346349528250,glia,astrocyte
46,54192,56704,1901,648518346349503169,glia,microglia
47,110496,45536,910,648518346349507266,glia,astrocyte
48,116208,61952,2151,648518346349529797,glia,microglia
49,91824,52208,15,648518346349525196,glia,OPC
50,87104,59520,93,648518346349498574,glia,astrocyte
51,60000,59776,2142,648518346349528271,glia,astrocyte
52,75152,54848,2064,648518346349525715,glia,astrocyte
53,113888,59792,1963,648518346349529813,glia,OPC
54,117488,76768,1838,648518346341399264,glia,astrocyte
55,110144,73360,1484,648518346342792418,glia,microglia
56,53136,62176,320,648518346349536487,glia,astrocyte
57,95744,71712,2042,648518346349524211,glia,microglia
58,106784,66352,1040,648518346349532924,glia,astrocyte
59,69184,74448,1889,648518346349527316,glia,astrocyte
60,70544,74928,1998,648518346349527317,glia,astrocyte
61,61616,40400,1342,648518346349527319,glia,astrocyte
62,58288,61088,161,648518346341382424,glia,microglia
63,95936,41904,1056,648518346342807831,glia,astrocyte
64,110336,54528,1241,648518346342919961,glia,microglia
65,117488,56128,1818,648518346349537050,glia,astrocyte
66,84960,52176,1437,648518346349508386,glia,microglia
67,80688,63744,1299,648518346349538089,glia,astrocyte
68,64832,51216,1522,648518346349516092,glia,microglia
69,90448,76112,1951,648518346341356348,glia,astrocyte
70,73984,47312,161,648518346349508432,glia,microglia
71,63568,44352,1066,648518346349517141,glia,astrocyte
72,79744,42288,283,648518346349539158,glia,astrocyte
73,89440,52656,2072,648518346349508442,glia,OPC
74,63424,61984,680,648518346349525862,glia,astrocyte
75,95824,66032,994,648518346349507433,glia,microglia (perivascular)
76,107840,76896,393,648518346344075119,glia,astrocyte
77,117776,48992,2098,648518346348199802,glia,unknown_type
78,112032,44272,1775,648518346349368699,glia,microglia
79,91392,59408,1702,648518346341354380,glia,astrocyte
80,92032,59120,1519,648518346349528465,glia,astrocyte
81,112608,40304,1797,648518346349484948,glia,astrocyte
82,115056,52320,517,648518346349508009,glia,unknown (at edge of volume)
83,113120,65872,50,648518346349517756,glia,microglia (perivascular)
84,93824,41328,2144,648518346341394877,glia,microglia
85,85728,37712,969,648518346342797245,glia,astrocyte
86,50256,67696,990,648518346349521344,glia,astrocyte
87,100048,47840,1747,648518346349538752,glia,microglia
88,115760,74992,1779,648518346342795202,glia,astrocyte
89,98320,58064,1008,648518346349529029,glia,microglia
90,59680,69104,2113,648518346349530569,glia,astrocyte
91,72704,55888,576,648518346349536717,glia,microglia (merged with nucleus of astrocyte 648518346349536799)
93,74352,70256,1276,648518346349502931,glia,microglia
94,100576,42592,739,648518346349538793,glia,OPC
95,78624,74816,1746,648518346349525488,glia,oligodendrocyte
96,77232,60080,1563,648518346349508089,glia,OPC
97,118800,78048,1952,648518346342465191,glia,unknown_type
98,79168,38336,568,648518346349539211,glia,unknown_type
99,43200,65072,2021,648518346341383616,glia,unknown_type
0,113904,67296,24,648518346342804483,vasculature,endothelial
1,44512,71312,94,648518346341422370,vasculature,endothelial
2,76944,58784,1987,648518346349526102,vasculature,pericyte
3,104256,40800,1968,648518346349375478,vasculature,endothelial
4,45168,69328,105,648518346343497543,vasculature,endothelial
5,107808,45904,2158,648518346348189552,vasculature,endothelial
6,105680,74272,34,648518346344072053,vasculature,endothelial
7,92112,53008,862,648518346349526102,vasculature,endothelial
8,74240,49216,711,648518346349526102,vasculature,endothelial
9,113024,48832,870,648518346348121670,vasculature,endothelial
10,61312,67488,645,648518346349526102,vasculature,endothelial
11,52864,62816,1208,648518346349526102,vasculature,endothelial
12,51312,62624,1425,648518346349526102,vasculature,endothelial
13,47130,52629,1889,648518346344328018,vasculature,endothelial
14,48490,49495,2166,648518346344456391,vasculature,endothelial
15,50368,51947,2176,648518346344505300,vasculature,endothelial
16,64050,74954,324,648518346341763956,vasculature,endothelial
17,52848,58608,595,648518346349526102,vasculature,endothelial
18,51056,47504,605,648518346345118988,vasculature,endothelial
19,59632,49072,750,648518346349526102,vasculature,endothelial
20,63360,48304,2106,648518346349526102,vasculature,endothelial
21,65136,46688,2154,648518346349526102,vasculature,endothelial
22,70624,46128,1822,648518346349526102,vasculature,endothelial
23,71280,44992,1520,648518346349526102,vasculature,endothelial
24,73024,39376,1798,648518346349526102,vasculature,endothelial
25,75296,47632,961,648518346349526102,vasculature,endothelial
26,80144,40752,692,648518346349526102,vasculature,endothelial
27,78992,49104,992,648518346349526102,vasculature,endothelial
28,75742,47723,860,648518346349526102,vasculature,endothelial
29,75608,48861,796,648518346349526102,vasculature,endothelial
30,77952,58512,1556,648518346349526102,vasculature,endothelial
32,80192,59936,1251,648518346349526102,vasculature,endothelial
33,78432,60688,1145,648518346349526102,vasculature,endothelial
34,75072,59312,1630,648518346349526102,vasculature,endothelial
35,67360,60528,1748,648518346349526102,vasculature,endothelial
36,66896,65424,1903,648518346349526102,vasculature,endothelial
37,59040,55952,1896,648518346349526102,vasculature,endothelial
38,77216,62992,618,648518346349526102,vasculature,endothelial
39,85040,66688,375,648518346349526102,vasculature,endothelial
40,96144,71120,69,648518346349526102,vasculature,endothelial
41,75456,69184,713,648518346349526102,vasculature,endothelial
42,75088,72256,709,648518346349526102,vasculature,endothelial
43,76464,74288,608,648518346349526102,vasculature,endothelial
44,78208,65984,1559,648518346349526102,vasculature,endothelial
45,81407,68417,1561,648518346349526102,vasculature,endothelial
46,81504,68928,1660,648518346349526102,vasculature,endothelial
47,74912,73376,1711,648518346349526102,vasculature,endothelial
48,81743,76965,1654,648518346349526102,vasculature,endothelial
49,82368,75536,1854,648518346342104735,vasculature,endothelial
50,49248,72288,1250,648518346343459827,vasculature,endothelial
51,100512,75872,1055,648518346349526102,vasculature,endothelial
52,97456,69120,955,648518346349526102,vasculature,endothelial
53,93664,61392,880,648518346349526102,vasculature,endothelial
54,92352,53312,702,648518346349526102,vasculature,endothelial
55,93360,50224,810,648518346349526102,vasculature,endothelial
56,89216,38976,873,648518346349526102,vasculature,endothelial
57,93520,50688,1915,648518346349526102,vasculature,endothelial
58,87040,47632,1821,648518346349526102,vasculature,endothelial
59,89472,61152,2124,648518346349526102,vasculature,endothelial
60,91744,53312,2034,648518346349526102,vasculature,endothelial
61,100512,63168,1770,648518346349526102,vasculature,endothelial
62,116320,74576,1912,648518346349526102,vasculature,endothelial
63,109728,66880,1624,648518346342796989,vasculature,endothelial
64,105792,50864,8,648518346348121670,vasculature,endothelial
65,111758,48608,941,648518346348121670,vasculature,endothelial
66,106368,59392,159,648518346348121670,vasculature,endothelial
67,110816,55264,1232,648518346348189552,vasculature,endothelial
68,107312,43552,2160,648518346349375478,vasculature,endothelial
69,104752,40768,878,648518346349061101,vasculature,endothelial
70,104464,40784,1867,648518346349375478,vasculature,endothelial
71,97377,38012,1145,648518346349375478,vasculature,endothelial
72,89216,38976,873,648518346349526102,vasculature,endothelial
